comp,prob
"((3, 2), (3, 2), True, 'r')",0.095915875837
right,1.0
"(((3, 2), (3, 2), True, 'r'), 'right', ((3, 3), (3, 3), True, 'r'))",0.9
"((3, 3), (3, 3), True, 'r')",0.092562092865
right,1.0
"(((3, 3), (3, 3), True, 'r'), 'right', ((3, 4), (3, 4), True, 'r'))",0.9
"((3, 4), (3, 4), True, 'r')",0.14093088466
right,1.0
"(((3, 4), (3, 4), True, 'r'), 'right', ((3, 5), (3, 5), True, 'p'))",0.9
"((3, 5), (3, 5), True, 'p')",0.17891365848
right,1.0
"(((3, 5), (3, 5), True, 'p'), 'right', ((3, 6), (3, 6), True, 'p'))",0.9
"((3, 6), (3, 6), True, 'p')",0.26656028504
drop,1.0
Trajectory,6
"((0, 0), (3, 0), False, 'p')",0.2157264556
down,1.0
"(((0, 0), (3, 0), False, 'p'), 'down', ((1, 0), (3, 0), False, 'p'))",0.9
"((1, 0), (3, 0), False, 'p')",0.19000518924
down,1.0
"(((1, 0), (3, 0), False, 'p'), 'down', ((2, 0), (3, 0), False, 'p'))",0.9
"((2, 0), (3, 0), False, 'p')",0.16748809465
down,1.0
"(((2, 0), (3, 0), False, 'p'), 'down', ((3, 0), (3, 0), False, 'p'))",0.9
"((3, 0), (3, 0), False, 'p')",0.13699301513
pick_up,1.0
"(((3, 0), (3, 0), False, 'p'), 'pick_up', ((3, 0), (3, 0), True, 'p'))",1
"((3, 0), (3, 0), True, 'p')",0.13298858317
right,1.0
"(((3, 0), (3, 0), True, 'p'), 'right', ((3, 1), (3, 1), True, 'p'))",0.9
"((3, 1), (3, 1), True, 'p')",0.11713223184
right,1.0
"(((3, 1), (3, 1), True, 'p'), 'right', ((3, 2), (3, 2), True, 'r'))",0.9
"((3, 2), (3, 2), True, 'r')",0.095915875837
right,1.0
"(((3, 2), (3, 2), True, 'r'), 'right', ((3, 3), (3, 3), True, 'r'))",0.9
"((3, 3), (3, 3), True, 'r')",0.092562092865
right,1.0
"(((3, 3), (3, 3), True, 'r'), 'right', ((3, 4), (3, 4), True, 'r'))",0.9
"((3, 4), (3, 4), True, 'r')",0.14093088466
right,1.0
"(((3, 4), (3, 4), True, 'r'), 'right', ((3, 5), (3, 5), True, 'p'))",0.9
"((3, 5), (3, 5), True, 'p')",0.17891365848
right,1.0
"(((3, 5), (3, 5), True, 'p'), 'right', ((3, 6), (3, 6), True, 'p'))",0.9
"((3, 6), (3, 6), True, 'p')",0.26656028504
drop,1.0
Trajectory,7
"((0, 0), (5, 4), False, 'p')",0.1999999955
down,0.99999964125
"(((0, 0), (5, 4), False, 'p'), 'down', ((1, 0), (5, 4), False, 'p'))",0.9
"((1, 0), (5, 4), False, 'p')",0.16199994237
down,0.9999933985
"(((1, 0), (5, 4), False, 'p'), 'down', ((2, 0), (5, 4), False, 'p'))",0.9
"((2, 0), (5, 4), False, 'p')",0.13121918136
right,0.99999987224
"(((2, 0), (5, 4), False, 'p'), 'right', ((2, 1), (5, 4), False, 'p'))",0.9
"((2, 1), (5, 4), False, 'p')",0.12990776474
down,0.99999789409
"(((2, 1), (5, 4), False, 'p'), 'down', ((3, 1), (5, 4), False, 'p'))",0.9
"((3, 1), (5, 4), False, 'p')",0.11479097949
right,0.99999998626
"(((3, 1), (5, 4), False, 'p'), 'right', ((3, 2), (5, 4), False, 'r'))",0.9
"((3, 2), (5, 4), False, 'r')",0.10503398836
down,0.99999923995
"(((3, 2), (5, 4), False, 'r'), 'down', ((3, 3), (5, 4), False, 'r'))",0.1
"((3, 3), (5, 4), False, 'r')",0.010847858957
down,0.99999997206
"(((3, 3), (5, 4), False, 'r'), 'down', ((4, 3), (5, 4), False, 'r'))",0.9
"((4, 3), (5, 4), False, 'r')",0.085042669342
right,0.07903727743
"(((4, 3), (5, 4), False, 'r'), 'right', ((4, 4), (5, 4), False, 'r'))",0.9
"((4, 4), (5, 4), False, 'r')",0.014572593054
down,1.0
"(((4, 4), (5, 4), False, 'r'), 'down', ((5, 4), (5, 4), False, 'p'))",0.9
"((5, 4), (5, 4), False, 'p')",0.075701215919
pick_up,1.0
"(((5, 4), (5, 4), False, 'p'), 'pick_up', ((5, 4), (5, 4), True, 'p'))",1
"((5, 4), (5, 4), True, 'p')",0.078734173157
up,1.0
"(((5, 4), (5, 4), True, 'p'), 'up', ((4, 4), (4, 4), True, 'r'))",0.9
"((4, 4), (4, 4), True, 'r')",0.077913780808
up,0.9999999942
"(((4, 4), (4, 4), True, 'r'), 'up', ((4, 5), (4, 5), True, 'p'))",0.1
"((4, 5), (4, 5), True, 'p')",0.060256664434
up,1.0
"(((4, 5), (4, 5), True, 'p'), 'up', ((3, 5), (3, 5), True, 'p'))",0.9
"((3, 5), (3, 5), True, 'p')",0.17891365848
right,1.0
"(((3, 5), (3, 5), True, 'p'), 'right', ((3, 6), (3, 6), True, 'p'))",0.9
"((3, 6), (3, 6), True, 'p')",0.26656028504
drop,1.0
Trajectory,8
"((0, 0), (5, 4), False, 'p')",0.1999999955
down,0.99999964125
"(((0, 0), (5, 4), False, 'p'), 'down', ((1, 0), (5, 4), False, 'p'))",0.9
"((1, 0), (5, 4), False, 'p')",0.16199994237
down,0.9999933985
"(((1, 0), (5, 4), False, 'p'), 'down', ((1, 1), (5, 4), False, 'p'))",0.1
"((1, 1), (5, 4), False, 'p')",0.029160804868
down,0.99999946815
"(((1, 1), (5, 4), False, 'p'), 'down', ((2, 1), (5, 4), False, 'p'))",0.9
"((2, 1), (5, 4), False, 'p')",0.12990776474
down,0.99999789409
"(((2, 1), (5, 4), False, 'p'), 'down', ((3, 1), (5, 4), False, 'p'))",0.9
"((3, 1), (5, 4), False, 'p')",0.11479097949
right,0.99999998626
"(((3, 1), (5, 4), False, 'p'), 'right', ((3, 2), (5, 4), False, 'r'))",0.9
"((3, 2), (5, 4), False, 'r')",0.10503398836
down,0.99999923995
"(((3, 2), (5, 4), False, 'r'), 'down', ((4, 2), (5, 4), False, 'r'))",0.9
"((4, 2), (5, 4), False, 'r')",0.094143090476
right,1.0
"(((4, 2), (5, 4), False, 'r'), 'right', ((4, 3), (5, 4), False, 'r'))",0.9
"((4, 3), (5, 4), False, 'r')",0.085042669342
down,0.92096274209
"(((4, 3), (5, 4), False, 'r'), 'down', ((5, 3), (5, 4), False, 'p'))",0.9
"((5, 3), (5, 4), False, 'p')",0.077585521758
right,1.0
"(((5, 3), (5, 4), False, 'p'), 'right', ((5, 4), (5, 4), False, 'p'))",0.9
"((5, 4), (5, 4), False, 'p')",0.075701215919
pick_up,1.0
"(((5, 4), (5, 4), False, 'p'), 'pick_up', ((5, 4), (5, 4), True, 'p'))",1
"((5, 4), (5, 4), True, 'p')",0.078734173157
up,1.0
"(((5, 4), (5, 4), True, 'p'), 'up', ((4, 4), (4, 4), True, 'r'))",0.9
"((4, 4), (4, 4), True, 'r')",0.077913780808
up,0.9999999942
"(((4, 4), (4, 4), True, 'r'), 'up', ((3, 4), (3, 4), True, 'r'))",0.9
"((3, 4), (3, 4), True, 'r')",0.14093088466
right,1.0
"(((3, 4), (3, 4), True, 'r'), 'right', ((3, 5), (3, 5), True, 'p'))",0.9
"((3, 5), (3, 5), True, 'p')",0.17891365848
right,1.0
"(((3, 5), (3, 5), True, 'p'), 'right', ((3, 6), (3, 6), True, 'p'))",0.9
"((3, 6), (3, 6), True, 'p')",0.26656028504
drop,1.0
Trajectory,9
"((0, 0), (6, 3), False, 'p')",0.19999999557
down,0.99999998804
"(((0, 0), (6, 3), False, 'p'), 'down', ((1, 0), (6, 3), False, 'p'))",0.9
"((1, 0), (6, 3), False, 'p')",0.1619999924
down,0.99999996039
"(((1, 0), (6, 3), False, 'p'), 'down', ((1, 1), (6, 3), False, 'p'))",0.1
"((1, 1), (6, 3), False, 'p')",0.029160008758
down,0.99999997161
"(((1, 1), (6, 3), False, 'p'), 'down', ((2, 1), (6, 3), False, 'p'))",0.9
"((2, 1), (6, 3), False, 'p')",0.035429420175
down,0.99999996191
"(((2, 1), (6, 3), False, 'p'), 'down', ((3, 1), (6, 3), False, 'p'))",0.9
"((3, 1), (6, 3), False, 'p')",0.038264015444
down,0.99999991333
"(((3, 1), (6, 3), False, 'p'), 'down', ((3, 2), (6, 3), False, 'r'))",0.1
"((3, 2), (6, 3), False, 'r')",0.0086093747925
down,0.99999997167
"(((3, 2), (6, 3), False, 'r'), 'down', ((3, 3), (6, 3), False, 'r'))",0.1
"((3, 3), (6, 3), False, 'r')",0.0017853816575
down,0.99999995128
"(((3, 3), (6, 3), False, 'r'), 'down', ((4, 3), (6, 3), False, 'r'))",0.9
"((4, 3), (6, 3), False, 'r')",0.0031302738081
down,0.99999998707
"(((4, 3), (6, 3), False, 'r'), 'down', ((5, 3), (6, 3), False, 'p'))",0.9
"((5, 3), (6, 3), False, 'p')",0.015068811302
down,1.0
"(((5, 3), (6, 3), False, 'p'), 'down', ((6, 3), (6, 3), False, 'p'))",0.9
"((6, 3), (6, 3), False, 'p')",0.075651890206
pick_up,1.0
"(((6, 3), (6, 3), False, 'p'), 'pick_up', ((6, 3), (6, 3), True, 'p'))",1
"((6, 3), (6, 3), True, 'p')",0.068771785244
right,1.0
"(((6, 3), (6, 3), True, 'p'), 'right', ((6, 4), (6, 4), True, 'p'))",0.9
"((6, 4), (6, 4), True, 'p')",0.055705145282
right,1.0
"(((6, 4), (6, 4), True, 'p'), 'right', ((5, 4), (5, 4), True, 'p'))",0.1
"((5, 4), (5, 4), True, 'p')",0.078734173157
up,1.0
"(((5, 4), (5, 4), True, 'p'), 'up', ((4, 4), (4, 4), True, 'r'))",0.9
"((4, 4), (4, 4), True, 'r')",0.077913780808
up,0.9999999942
"(((4, 4), (4, 4), True, 'r'), 'up', ((3, 4), (3, 4), True, 'r'))",0.9
"((3, 4), (3, 4), True, 'r')",0.14093088466
right,1.0
"(((3, 4), (3, 4), True, 'r'), 'right', ((3, 5), (3, 5), True, 'p'))",0.9
"((3, 5), (3, 5), True, 'p')",0.17891365848
right,1.0
"(((3, 5), (3, 5), True, 'p'), 'right', ((3, 6), (3, 6), True, 'p'))",0.9
"((3, 6), (3, 6), True, 'p')",0.26656028504
drop,1.0
Trajectory,10
"((0, 0), (5, 4), False, 'p')",0.1999999955
down,0.99999964125
"(((0, 0), (5, 4), False, 'p'), 'down', ((1, 0), (5, 4), False, 'p'))",0.9
"((1, 0), (5, 4), False, 'p')",0.16199994237
down,0.9999933985
"(((1, 0), (5, 4), False, 'p'), 'down', ((2, 0), (5, 4), False, 'p'))",0.9
"((2, 0), (5, 4), False, 'p')",0.13121918136
right,0.99999987224
"(((2, 0), (5, 4), False, 'p'), 'right', ((2, 1), (5, 4), False, 'p'))",0.9
"((2, 1), (5, 4), False, 'p')",0.12990776474
down,0.99999789409
"(((2, 1), (5, 4), False, 'p'), 'down', ((3, 1), (5, 4), False, 'p'))",0.9
"((3, 1), (5, 4), False, 'p')",0.11479097949
right,0.99999998626
"(((3, 1), (5, 4), False, 'p'), 'right', ((3, 2), (5, 4), False, 'r'))",0.9
"((3, 2), (5, 4), False, 'r')",0.10503398836
down,0.99999923995
"(((3, 2), (5, 4), False, 'r'), 'down', ((4, 2), (5, 4), False, 'r'))",0.9
"((4, 2), (5, 4), False, 'r')",0.094143090476
right,1.0
"(((4, 2), (5, 4), False, 'r'), 'right', ((4, 3), (5, 4), False, 'r'))",0.9
"((4, 3), (5, 4), False, 'r')",0.085042669342
down,0.92096274209
"(((4, 3), (5, 4), False, 'r'), 'down', ((5, 3), (5, 4), False, 'p'))",0.9
"((5, 3), (5, 4), False, 'p')",0.077585521758
right,1.0
"(((5, 3), (5, 4), False, 'p'), 'right', ((5, 4), (5, 4), False, 'p'))",0.9
"((5, 4), (5, 4), False, 'p')",0.075701215919
pick_up,1.0
"(((5, 4), (5, 4), False, 'p'), 'pick_up', ((5, 4), (5, 4), True, 'p'))",1
"((5, 4), (5, 4), True, 'p')",0.078734173157
up,1.0
"(((5, 4), (5, 4), True, 'p'), 'up', ((4, 4), (4, 4), True, 'r'))",0.9
"((4, 4), (4, 4), True, 'r')",0.077913780808
up,0.9999999942
"(((4, 4), (4, 4), True, 'r'), 'up', ((3, 4), (3, 4), True, 'r'))",0.9
"((3, 4), (3, 4), True, 'r')",0.14093088466
right,1.0
"(((3, 4), (3, 4), True, 'r'), 'right', ((3, 5), (3, 5), True, 'p'))",0.9
"((3, 5), (3, 5), True, 'p')",0.17891365848
right,1.0
"(((3, 5), (3, 5), True, 'p'), 'right', ((3, 6), (3, 6), True, 'p'))",0.9
"((3, 6), (3, 6), True, 'p')",0.26656028504
drop,1.0
Trajectory,11
"((0, 0), (5, 4), False, 'p')",0.1999999955
down,0.99999964125
"(((0, 0), (5, 4), False, 'p'), 'down', ((1, 0), (5, 4), False, 'p'))",0.9
"((1, 0), (5, 4), False, 'p')",0.16199994237
down,0.9999933985
"(((1, 0), (5, 4), False, 'p'), 'down', ((2, 0), (5, 4), False, 'p'))",0.9
"((2, 0), (5, 4), False, 'p')",0.13121918136
right,0.99999987224
"(((2, 0), (5, 4), False, 'p'), 'right', ((2, 1), (5, 4), False, 'p'))",0.9
"((2, 1), (5, 4), False, 'p')",0.12990776474
down,0.99999789409
"(((2, 1), (5, 4), False, 'p'), 'down', ((3, 1), (5, 4), False, 'p'))",0.9
"((3, 1), (5, 4), False, 'p')",0.11479097949
right,0.99999998626
"(((3, 1), (5, 4), False, 'p'), 'right', ((3, 2), (5, 4), False, 'r'))",0.9
"((3, 2), (5, 4), False, 'r')",0.10503398836
down,0.99999923995
"(((3, 2), (5, 4), False, 'r'), 'down', ((4, 2), (5, 4), False, 'r'))",0.9
"((4, 2), (5, 4), False, 'r')",0.094143090476
right,1.0
"(((4, 2), (5, 4), False, 'r'), 'right', ((4, 3), (5, 4), False, 'r'))",0.9
"((4, 3), (5, 4), False, 'r')",0.085042669342
down,0.92096274209
"(((4, 3), (5, 4), False, 'r'), 'down', ((5, 3), (5, 4), False, 'p'))",0.9
"((5, 3), (5, 4), False, 'p')",0.077585521758
right,1.0
"(((5, 3), (5, 4), False, 'p'), 'right', ((5, 4), (5, 4), False, 'p'))",0.9
"((5, 4), (5, 4), False, 'p')",0.075701215919
pick_up,1.0
"(((5, 4), (5, 4), False, 'p'), 'pick_up', ((5, 4), (5, 4), True, 'p'))",1
"((5, 4), (5, 4), True, 'p')",0.078734173157
up,1.0
"(((5, 4), (5, 4), True, 'p'), 'up', ((4, 4), (4, 4), True, 'r'))",0.9
"((4, 4), (4, 4), True, 'r')",0.077913780808
up,0.9999999942
"(((4, 4), (4, 4), True, 'r'), 'up', ((3, 4), (3, 4), True, 'r'))",0.9
"((3, 4), (3, 4), True, 'r')",0.14093088466
right,1.0
"(((3, 4), (3, 4), True, 'r'), 'right', ((3, 5), (3, 5), True, 'p'))",0.9
"((3, 5), (3, 5), True, 'p')",0.17891365848
right,1.0
"(((3, 5), (3, 5), True, 'p'), 'right', ((3, 6), (3, 6), True, 'p'))",0.9
"((3, 6), (3, 6), True, 'p')",0.26656028504
drop,1.0
Trajectory,12
"((0, 0), (5, 4), False, 'p')",0.1999999955
down,0.99999964125
"(((0, 0), (5, 4), False, 'p'), 'down', ((1, 0), (5, 4), False, 'p'))",0.9
"((1, 0), (5, 4), False, 'p')",0.16199994237
down,0.9999933985
"(((1, 0), (5, 4), False, 'p'), 'down', ((1, 1), (5, 4), False, 'p'))",0.1
"((1, 1), (5, 4), False, 'p')",0.029160804868
down,0.99999946815
"(((1, 1), (5, 4), False, 'p'), 'down', ((2, 1), (5, 4), False, 'p'))",0.9
"((2, 1), (5, 4), False, 'p')",0.12990776474
down,0.99999789409
"(((2, 1), (5, 4), False, 'p'), 'down', ((3, 1), (5, 4), False, 'p'))",0.9
"((3, 1), (5, 4), False, 'p')",0.11479097949
right,0.99999998626
"(((3, 1), (5, 4), False, 'p'), 'right', ((3, 2), (5, 4), False, 'r'))",0.9
"((3, 2), (5, 4), False, 'r')",0.10503398836
down,0.99999923995
